"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Perennial forb:Low - Control:Control",0.27458316694016,0.39631791937971,53,0.692835608770653,0.961348570905958
"2","Perennial forb:High - Control:Control",-0.132938210052283,0.418416062346285,53,-0.317717750381824,0.997949751466452
"3","Rush:Low - Control:Control",-0.221079775890403,0.426903121173443,53,-0.517868726943746,0.986664864550546
"4","Rush:High - Control:Control",-0.179873305482796,0.417326884135205,53,-0.431012983636399,0.993340210692225
"5","Grass:Low - Control:Control",0.0500738412556805,0.404851922812538,53,0.123684336010593,0.999950859272473
"6","Grass:High - Control:Control",-0.178449267875484,0.419999970898134,53,-0.424879238667291,0.993695122089359
"7","Bulrush:Low - Control:Control",-0.276638246298731,0.425126661056936,53,-0.650719589335947,0.969121081822574
"8","Bulrush:High - Control:Control",-0.718181800962768,0.444151090183505,53,-1.61697633268455,0.513566403294362
"9","Annual forb:Low - Control:Control",0.14228054829186,0.401141064751304,53,0.354689561339402,0.996854478604948
"10","Annual forb:High - Control:Control",-0.281130058031405,0.424423015769949,53,-0.662381745536124,0.967083681304239
