"","contrast","odds.ratio","SE","df","null","t.ratio","p.value"
"1","1:H / 10:C",1.28847650075552,0.572368208242664,53,1,0.570573121485817,0.980883058680122
"2","1:L / 10:C",1.68087466385609,0.716977557575843,53,1,1.21747497589021,0.75974506920784
"3","2:H / 10:C",2.00331781317851,0.840087143940706,53,1,1.65686937080129,0.488432183628439
"4","2:L / 10:C",1.72418293432546,0.744447435345665,53,1,1.26167981652328,0.734694899547128
"5","3:H / 10:C",0.798529213900321,0.371490034700296,53,1,-0.483609413710993,0.989688960905655
"6","3:L / 10:C",1.02020076641573,0.457687669265134,53,1,0.044579400074751,0.999999165130997
"7","4:H / 10:C",2.27074029178882,0.940751863933999,53,1,1.97953103007186,0.302938028872369
"8","4:L / 10:C",2.79218394673706,1.14695256363989,53,1,2.49973866814222,0.109969057015707
"9","5:H / 10:C",1.2452476868851,0.55433886458786,53,1,0.492705348140564,0.98893876878254
"10","5:L / 10:C",1.9038252238244,0.798638273658682,53,1,1.53487095571701,0.565846541153359
